"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/53033","","King County","Count_Person","2012","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2011708,"Total Population"
"geoId/53033","","King County","Count_Person","2013","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2047967,"Total Population"
"geoId/53033","","King County","Count_Person","2014","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2086174,"Total Population"
"geoId/53033","","King County","Count_Person","2015","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2127372,"Total Population"
"geoId/53033","","King County","Count_Person","2016","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2167863,"Total Population"
"geoId/53033","","King County","Count_Person","2017","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2205001,"Total Population"
"geoId/53033","","King County","Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2228488,"Total Population"
"geoId/53033","","King County","Count_Person","2019","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2249653,"Total Population"
"geoId/53033","","King County","Count_Person","2020","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2274315,"Total Population"
"geoId/53033","","King County","Count_Person","2021","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2252305,"Total Population"
"geoId/53033","","King County","Count_Person","2022","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2265311,"Total Population"
"geoId/53033","","King County","Count_Person","2023","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",2271380,"Total Population"
